PLAYER_NAME,GAME_DATE,MARKET,OVER_PRICE,POINT,HOME_TEAM,AWAY_TEAM,UNDER_PRICE,TEAM_NAME,HOME_AWAY,OPPONENT_NAME
Dennis Schroder,2024-03-19,player_rebounds_alternate,1.83,2.5,Brooklyn Nets,New Orleans Pelicans,,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_rebounds_assists,2.05,9.5,Brooklyn Nets,New Orleans Pelicans,1.71,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_steals,1.57,0.5,Brooklyn Nets,New Orleans Pelicans,2.3,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_threes,1.62,1.5,Brooklyn Nets,New Orleans Pelicans,2.2,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_turnovers,1.69,2.5,Brooklyn Nets,New Orleans Pelicans,2.1,Brooklyn Nets,Home,New Orleans Pelicans
Dillon Brooks,2024-03-19,player_assists,1.95,1.5,Washington Wizards,Houston Rockets,1.8,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_assists_alternate,1.74,1.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_blocks,3.6,0.5,Washington Wizards,Houston Rockets,1.27,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_blocks_alternate,3.0,0.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_blocks_steals,1.4,0.5,Washington Wizards,Houston Rockets,2.75,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points,2.0,13.5,Washington Wizards,Houston Rockets,1.77,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_alternate,1.32,10.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_alternate,,12.5,Washington Wizards,Houston Rockets,1.95,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_assists,1.83,14.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_assists_alternate,1.1,9.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_rebounds,1.95,17.5,Washington Wizards,Houston Rockets,1.8,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_rebounds_alternate,1.03,9.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_rebounds_assists,1.83,18.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_points_rebounds_assists_alternate,2.83,22.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_rebounds,1.65,3.5,Washington Wizards,Houston Rockets,2.15,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_rebounds_alternate,,1.5,Washington Wizards,Houston Rockets,7.5,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_rebounds_alternate,36.0,9.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_rebounds_assists,1.83,5.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_steals,1.65,0.5,Washington Wizards,Houston Rockets,2.15,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_steals_alternate,1.69,0.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_threes,1.71,1.5,Washington Wizards,Houston Rockets,2.05,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_threes_alternate,1.74,1.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Dillon Brooks,2024-03-19,player_turnovers,2.55,1.5,Washington Wizards,Houston Rockets,1.48,Houston Rockets,Away,Washington Wizards
Franz Wagner,2024-03-19,player_assists,2.08,3.5,Orlando Magic,Charlotte Hornets,1.7,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_assists_alternate,1.13,1.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_blocks,2.29,0.5,Orlando Magic,Charlotte Hornets,1.56,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_blocks_alternate,2.0,0.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_blocks_steals,2.02,1.5,Orlando Magic,Charlotte Hornets,1.72,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points,1.82,18.5,Orlando Magic,Charlotte Hornets,1.92,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_alternate,1.43,16.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_assists,1.84,22.5,Orlando Magic,Charlotte Hornets,1.87,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_assists_alternate,1.03,14.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_rebounds,1.87,24.5,Orlando Magic,Charlotte Hornets,1.84,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_rebounds_alternate,1.17,19.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_rebounds_assists,1.88,27.5,Orlando Magic,Charlotte Hornets,1.85,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_points_rebounds_assists_alternate,1.05,19.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_rebounds,1.56,4.5,Orlando Magic,Charlotte Hornets,2.33,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_rebounds_alternate,10.25,9.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_rebounds_assists,1.78,8.5,Orlando Magic,Charlotte Hornets,1.94,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_rebounds_assists_alternate,2.01,9.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_steals,1.43,0.5,Orlando Magic,Charlotte Hornets,2.65,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_steals_alternate,1.5,0.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_threes,2.43,1.5,Orlando Magic,Charlotte Hornets,1.51,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_threes_alternate,2.3,1.5,Orlando Magic,Charlotte Hornets,,Orlando Magic,Home,Charlotte Hornets
Franz Wagner,2024-03-19,player_turnovers,1.53,1.5,Orlando Magic,Charlotte Hornets,2.36,Orlando Magic,Home,Charlotte Hornets
Fred VanVleet,2024-03-19,player_assists,1.83,8.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_assists_alternate,,6.5,Washington Wizards,Houston Rockets,3.7,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_assists_alternate,2.15,9.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_blocks,2.1,0.5,Washington Wizards,Houston Rockets,1.69,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_blocks_alternate,1.91,0.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_blocks_steals,2.2,2.5,Washington Wizards,Houston Rockets,1.62,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points,1.8,19.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_alternate,1.43,17.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_alternate,,18.5,Washington Wizards,Houston Rockets,2.15,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_assists,1.83,28.5,Washington Wizards,Houston Rockets,1.87,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_assists_alternate,1.03,19.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_rebounds,1.91,24.5,Washington Wizards,Houston Rockets,1.83,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_rebounds_alternate,1.16,19.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_rebounds_assists,1.91,33.5,Washington Wizards,Houston Rockets,1.83,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_points_rebounds_assists_alternate,4.51,43.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_rebounds,1.91,4.5,Washington Wizards,Houston Rockets,1.83,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_rebounds_alternate,,2.5,Washington Wizards,Houston Rockets,4.5,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_rebounds_alternate,21.0,9.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_rebounds_assists,1.95,13.5,Washington Wizards,Houston Rockets,1.77,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_rebounds_assists_alternate,1.51,12.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_steals,1.8,1.5,Washington Wizards,Houston Rockets,1.95,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_steals_alternate,1.2,0.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_threes,1.61,2.5,Washington Wizards,Houston Rockets,2.25,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_threes_alternate,1.18,1.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Fred VanVleet,2024-03-19,player_turnovers,2.45,2.5,Washington Wizards,Houston Rockets,1.5,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_assists,1.83,3.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_assists_alternate,1.07,1.5,Washington Wizards,Houston Rockets,5.75,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_blocks,2.4,0.5,Washington Wizards,Houston Rockets,1.53,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_blocks_alternate,2.0,0.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_blocks_steals,2.25,1.5,Washington Wizards,Houston Rockets,1.61,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points,1.71,25.5,Washington Wizards,Houston Rockets,2.05,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_alternate,,23.5,Washington Wizards,Houston Rockets,2.5,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_alternate,1.59,24.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_assists,1.91,29.5,Washington Wizards,Houston Rockets,1.83,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_assists_alternate,1.03,19.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_rebounds,1.83,32.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_rebounds_alternate,1.07,24.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_rebounds_assists,1.91,36.5,Washington Wizards,Houston Rockets,1.83,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_points_rebounds_assists_alternate,8.19,52.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_rebounds,1.87,6.5,Washington Wizards,Houston Rockets,1.83,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_rebounds_alternate,,5.5,Washington Wizards,Houston Rockets,2.55,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_rebounds_alternate,4.25,9.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_rebounds_assists,1.95,10.5,Washington Wizards,Houston Rockets,1.8,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_rebounds_assists_alternate,1.77,10.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_steals,1.57,0.5,Washington Wizards,Houston Rockets,2.35,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_steals_alternate,1.59,0.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_threes,1.77,2.5,Washington Wizards,Houston Rockets,1.95,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_threes_alternate,1.27,1.5,Washington Wizards,Houston Rockets,,Houston Rockets,Away,Washington Wizards
Jalen Green,2024-03-19,player_turnovers,1.83,2.5,Washington Wizards,Houston Rockets,1.91,Houston Rockets,Away,Washington Wizards
Kyle Kuzma,2024-03-19,player_assists,2.05,4.5,Washington Wizards,Houston Rockets,1.71,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_assists_alternate,1.15,2.5,Washington Wizards,Houston Rockets,4.1,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_blocks,1.61,0.5,Washington Wizards,Houston Rockets,2.25,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_blocks_alternate,1.4,0.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_blocks_steals,1.83,1.5,Washington Wizards,Houston Rockets,1.91,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points,1.95,22.5,Washington Wizards,Houston Rockets,1.77,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_alternate,1.42,19.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_alternate,,20.5,Washington Wizards,Houston Rockets,2.15,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_assists,1.91,26.5,Washington Wizards,Houston Rockets,1.83,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_assists_alternate,1.09,19.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_rebounds,1.8,29.5,Washington Wizards,Houston Rockets,1.95,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_rebounds_alternate,1.03,19.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_rebounds_assists,1.91,34.5,Washington Wizards,Houston Rockets,1.83,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_points_rebounds_assists_alternate,4.38,42.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_rebounds,1.83,7.5,Washington Wizards,Houston Rockets,1.91,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_rebounds_alternate,,5.5,Washington Wizards,Houston Rockets,3.5,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_rebounds_alternate,3.1,9.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_rebounds_assists,1.69,11.5,Washington Wizards,Houston Rockets,2.05,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_rebounds_assists_alternate,2.69,14.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_steals,1.69,0.5,Washington Wizards,Houston Rockets,2.1,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_steals_alternate,1.69,0.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_threes,1.8,1.5,Washington Wizards,Houston Rockets,1.95,Washington Wizards,Home,Houston Rockets
Kyle Kuzma,2024-03-19,player_threes_alternate,1.8,1.5,Washington Wizards,Houston Rockets,,Washington Wizards,Home,Houston Rockets
